"","term_id","oTerms","nTerms","base","oWords","matchWords","c..celulă....nucleu....citoplasmă....citosol....organite...","c..........................................multinucleată....multinucleată...","c..................................................primordială...","c.............................................................","c..............................................................1"
"1",10003,"cell","celulă","celulă","cellula","celulă","celulă","","","",""
"2",10005,"nucleus","nucleu","nucleu","neurosoma","nucleu","nucleu","","","",""
"3",10006,"cytoplasm","citoplasmă","citoplasma","cortex","citoplasmă","citoplasmă","","","",""
"4",10014,"cytosol","citosol","citosol","intercellulares","citosol","citosol","","","",""
"5",10015,"organelles","organite","organite","hemidesmosoma","organite","organite","","","",""
"6",10017,"plasmalemma","plasmalemă","plasmalema","polyribosoma","plasmalemă","plasmalemă","","","",""
"7",10017,"cell membrane","plasmalemă","celulă","receptor","","plasmalemă","","","",""
"8",10017,"cell membrane","plasmalemă","membrană","reticulum","","plasmalemă","","","",""
"9",10017,"plasma membrane","plasmalemă","plasma","endoplasmicum","plasmalemă","plasmalemă","","","",""
"10",10017,"plasma membrane","plasmalemă","membrană","reticulum","","plasmalemă","","","",""
"11",10026,"multinucleate cell","celulă multinucleată","multinucleate","albicans","multinucleată","celulă","multinucleată","","",""
"12",10026,"multinucleate cell","celulă multinucleată","celulă","textus","celulă","celulă","multinucleată","","",""
"13",10032,"primordial cell","celulă germinală primordială","primordial","cellula","primordială","celulă","germinală","primordială","",""
"14",10032,"primordial cell","celulă germinală primordială","celulă","progenetrix","celulă","celulă","germinală","primordială","",""
"15",10035,"stem cell","celulă stem","tulpină","osteocytus","celulă","celulă","stem","","",""
"16",10035,"stem cell","celulă stem","celulă","osteoclastus","celulă","celulă","stem","","",""
"17",10036,"progenitor cell","celulă progenitoare","strămoș","neuron","","celulă","progenitoare","","",""
"18",10036,"progenitor cell","celulă progenitoare","celulă","purkinjense","celulă","celulă","progenitoare","","",""
"19",10046,"dendritic cell","celulă dendritică","dendritic","dentis","dendritică","celulă","dendritică","","",""
"20",10046,"dendritic cell","celulă dendritică","celulă","cavitas","celulă","celulă","dendritică","","",""
"21",10046,"branched cell","celulă dendritică","ramificat","pulparis","dendritică","celulă","dendritică","","",""
"22",10046,"branched cell","celulă dendritică","celulă","canalis","celulă","celulă","dendritică","","",""
"23",10048,"giant cell","celulă gigantă","gigant","cellula","gigantă","celulă","gigantă","","",""
"24",10048,"giant cell","celulă gigantă","celulă","gigantea","celulă","celulă","gigantă","","",""
"25",10050,"polyhedral cell","celulă poliedrică","poliedrică","nucleus","poliedrică","celulă","poliedrică","","",""
"26",10050,"polyhedral cell","celulă poliedrică","celulă","pyknoticus","celulă","celulă","poliedrică","","",""
"27",10052,"pyramidal cell","celulă piramidală","piramidal","neuron","piramidală","celulă","piramidală","","",""
"28",10052,"pyramidal cell","celulă piramidală","celulă","pyramidale","celulă","celulă","piramidală","","",""
"29",10054,"squamous cell","celulă scuamoasă","scuamoase","nucleus","scuamoasă","celulă","scuamoasă","","",""
"30",10054,"squamous cell","celulă scuamoasă","celulă","sphericus","celulă","celulă","scuamoasă","","",""
"31",10054,"pavement cell","celulă scuamoasă","pavaj","chromatinum","","celulă","scuamoasă","","",""
"32",10054,"pavement cell","celulă scuamoasă","celulă","ribosoma","celulă","celulă","scuamoasă","","",""
"33",10057,"glycocalyx","glicocalix","glycocalyx","lysosoma","glicocalix","glicocalix","","","",""
"34",10078,"microvillus","microvil","microvillus","mucosae","microvil","microvil","","","",""
"35",10079,"microvillous border","margine striată","microvillous","membrana","","margine","striată","","",""
"36",10079,"microvillous border","margine striată","frontieră","tympanica","","margine","striată","","",""
"37",10079,"brush border","margine striată","perie","epithelium","striată","margine","striată","","",""
"38",10079,"brush border","margine striată","frontieră","pseudostratificatum","","margine","striată","","",""
"39",10079,"striated border","margine striată","striat","auris","striată","margine","striată","","",""
"40",10079,"striated border","margine striată","frontieră","interna","","margine","striată","","",""
"41",10084,"stereocilium","stereocil","stereocilium","telolysosoma","stereocil","stereocil","","","",""
"42",10085,"cilium","cil","cilium","corpusculum","cil","cil","","","",""
"43",10086,"motile cilium","kinocil","mobili","ossificatio","kinocil","kinocil","","","",""
"44",10086,"motile cilium","kinocil","cilium","anisocytosis","kinocil","kinocil","","","",""
"45",10090,"central microbutule","( microtubul central )","central","residuale","central","microtubul","central","","",""
