"","term_id","oTerms","nTerms","base","oWords","matchWords","c..celulă....nucleu....citoplasmă....citosol....citosol....citosol...","c..............................................multinucleată...","c......................................................primordială...","c.............................................................","c..............................................................1"
"1",10003,"cellula","celulă","celulă","cellula","celulă","celulă","","","",""
"2",10005,"nucleus","nucleu","nucleu","nucleus","nucleu","nucleu","","","",""
"3",10006,"cytoplasma","citoplasmă","citoplasma","cytoplasma","citoplasmă","citoplasmă","","","",""
"4",10014,"cytosol","citosol","citosol","cytosol","citosol","citosol","","","",""
"5",10014,"matrix cytoplasmica","citosol","matrice","matrix","","citosol","","","",""
"6",10014,"matrix cytoplasmica","citosol","cytoplasmica","cytoplasmica","","citosol","","","",""
"7",10015,"organella","organite","organite","organella","organite","organite","","","",""
"8",10015,"organula","organite","organe","organula","organite","organite","","","",""
"9",10017,"plasmalemma","plasmalemă","plasmalema","plasmalemma","plasmalemă","plasmalemă","","","",""
"10",10017,"membrana cellularis","plasmalemă","filme","membrana","plasmalemă","plasmalemă","","","",""
"11",10017,"membrana cellularis","plasmalemă","celulă","cellularis","","plasmalemă","","","",""
"12",10026,"cellula multinucleata","celulă multinucleată","celulă","cellula","celulă","celulă","multinucleată","","",""
"13",10026,"cellula multinucleata","celulă multinucleată","multinucleata","multinucleata","multinucleată","celulă","multinucleată","","",""
"14",10032,"cellula primordialis","celulă germinală primordială","celulă","cellula","celulă","celulă","germinală","primordială","",""
"15",10032,"cellula primordialis","celulă germinală primordială","primar","primordialis","primordială","celulă","germinală","primordială","",""
"16",10035,"cellula precursoria","celulă stem","celulă","cellula","celulă","celulă","stem","","",""
"17",10035,"cellula precursoria","celulă stem","precursori","precursoria","","celulă","stem","","",""
"18",10036,"cellula progenetrix","celulă progenitoare","celulă","cellula","celulă","celulă","progenitoare","","",""
"19",10036,"cellula progenetrix","celulă progenitoare","progenetrix","progenetrix","progenitoare","celulă","progenitoare","","",""
"20",10046,"cellula dendritiformis","celulă dendritică","celulă","cellula","celulă","celulă","dendritică","","",""
"21",10046,"cellula dendritiformis","celulă dendritică","dendritiformis","dendritiformis","dendritică","celulă","dendritică","","",""
"22",10048,"cellula gigantea","celulă gigantă","celulă","cellula","celulă","celulă","gigantă","","",""
"23",10048,"cellula gigantea","celulă gigantă","gigantic","gigantea","gigantă","celulă","gigantă","","",""
"24",10050,"cellula polyhedralis","celulă poliedrică","celulă","cellula","celulă","celulă","poliedrică","","",""
"25",10050,"cellula polyhedralis","celulă poliedrică","poliedrică","polyhedralis","poliedrică","celulă","poliedrică","","",""
"26",10052,"cellula pyramidalis","celulă piramidală","celulă","cellula","celulă","celulă","piramidală","","",""
"27",10052,"cellula pyramidalis","celulă piramidală","piramidal","pyramidalis","piramidală","celulă","piramidală","","",""
"28",10054,"cellula squamosa","celulă scuamoasă","celulă","cellula","celulă","celulă","scuamoasă","","",""
"29",10054,"cellula squamosa","celulă scuamoasă","solzos","squamosa","","celulă","scuamoasă","","",""
"30",10054,"cellula plana","celulă scuamoasă","celulă","cellula","celulă","celulă","scuamoasă","","",""
"31",10054,"cellula plana","celulă scuamoasă","plat","plana","","celulă","scuamoasă","","",""
"32",10057,"glycocalyx","glicocalix","glycocalyx","glycocalyx","glicocalix","glicocalix","","","",""
"33",10078,"microvillus","microvil","microvillus","microvillus","microvil","microvil","","","",""
"34",10079,"limbus microvillosus","margine striată","frontieră","limbus","","margine","striată","","",""
"35",10079,"limbus microvillosus","margine striată","microvillosus","microvillosus","","margine","striată","","",""
"36",10079,"limbus penicillatus","margine striată","frontieră","limbus","","margine","striată","","",""
"37",10079,"limbus penicillatus","margine striată","peri","penicillatus","striată","margine","striată","","",""
"38",10079,"limbus striatus","margine striată","frontieră","limbus","","margine","striată","","",""
"39",10079,"limbus striatus","margine striată","caneluri","striatus","","margine","striată","","",""
"40",10084,"stereocilium","stereocil","stereocilium","stereocilium","stereocil","stereocil","","","",""
"41",10085,"cilium","cil","consiliu","cilium","","cil","","","",""
"42",10086,"kinocilium","kinocil","kinocilium","kinocilium","kinocil","kinocil","","","",""
"43",10090,"microtubulus centralis","( microtubul central )","microtubulus","microtubulus","microtubul","microtubul","central","","",""
"44",10090,"microtubulus centralis","( microtubul central )","central","centralis","central","microtubul","central","","",""
"45",10096,"dyneinum","dineină","dyneinum","dyneinum","dineină","dineină","","","",""
"46",10104,"flagellum","flagel","flagel","flagellum","flagel","flagel","","","",""
"47",10106,"junctiones intercellulares","joncțiuni intercelulare","joncțiune","junctiones","joncțiuni","joncțiuni","intercelulare","","",""
"48",10106,"junctiones intercellulares","joncțiuni intercelulare","intercellulares","intercellulares","intercelulare","joncțiuni","intercelulare","","",""
"49",10112,"junctio occludens","joncțiune strânsă","conjuncție","junctio","joncțiune","joncțiune","strânsă","","",""
"50",10112,"junctio occludens","joncțiune strânsă","închide","occludens","joncțiune","joncțiune","strânsă","","",""
"51",10112,"zonula occludens","joncțiune strânsă","brâu mic","zonula","","joncțiune","strânsă","","",""
"52",10112,"zonula occludens","joncțiune strânsă","închide","occludens","joncțiune","joncțiune","strânsă","","",""
"53",10120,"desmosoma","desmozom","desmosoma","desmosoma","desmozom","desmozom","","","",""
"54",10120,"macula adhaerens","desmozom","punct","macula","","desmozom","","","",""
"55",10120,"macula adhaerens","desmozom","aderare","adhaerens","","desmozom","","","",""
"56",10129,"nexus","joncțiune gap","legătură","nexus","","joncțiune","gap","","",""
"57",10129,"macula communicans","joncțiune gap","punct","macula","joncțiune","joncțiune","gap","","",""
"58",10129,"macula communicans","joncțiune gap","comunicarea","communicans","","joncțiune","gap","","",""
"59",10129,"synapsis non vesicularis","joncțiune gap","sinapselor","synapsis","","joncțiune","gap","","",""
"60",10129,"synapsis non vesicularis","joncțiune gap","nu","non","joncțiune","joncțiune","gap","","",""
"61",10129,"synapsis non vesicularis","joncțiune gap","veziculoase","vesicularis","","joncțiune","gap","","",""
"62",10129,"synapsis electrica","joncțiune gap","sinapselor","synapsis","","joncțiune","gap","","",""
"63",10129,"synapsis electrica","joncțiune gap","electric","electrica","","joncțiune","gap","","",""
"64",10134,"hemidesmosoma","hemidesmozom","hemidesmosoma","hemidesmosoma","hemidesmozom","hemidesmozom","","","",""
"65",10142,"nucleus","nucleu","nucleu","nucleus","nucleu","nucleu","","","",""
"66",10157,"nucleus pyknoticus","nucleu picnotic","nucleu","nucleus","nucleu","nucleu","picnotic","","",""
"67",10157,"nucleus pyknoticus","nucleu picnotic","pyknoticus","pyknoticus","picnotic","nucleu","picnotic","","",""
"68",10160,"nucleus sphericus","nucleu sferic","nucleu","nucleus","nucleu","nucleu","sferic","","",""
"69",10160,"nucleus sphericus","nucleu sferic","sferoidal","sphericus","sferic","nucleu","sferic","","",""
"70",10186,"chromatinum","cromatină","chromatinum","chromatinum","cromatină","cromatină","","","",""
"71",10187,"heterochromatinum","heterocromatină","heterochromatinum","heterochromatinum","heterocromatină","heterocromatină","","","",""
"72",10205,"nucleolus","nucleol","nucleoli","nucleolus","nucleol","nucleol","","","",""
"73",10217,"cytocentrum","centrozom","cytocentrum","cytocentrum","centrozom","centrozom","","","",""
"74",10217,"centrosoma","centrozom","centrosoma","centrosoma","centrozom","centrozom","","","",""
"75",10218,"centriolum","centriol","centriolum","centriolum","centriol","centriol","","","",""
"76",10223,"mitochondrion","mitocondrie","mitochondrion","mitochondrion","mitocondrie","mitocondrie","","","",""
"77",10228,"myofilamentum tenue","filament de actină","myofilamentum","myofilamentum","filament","filament","de","actină","",""
"78",10228,"myofilamentum tenue","filament de actină","subțire","tenue","","filament","de","actină","",""
"79",10228,"filamentum actini","filament de actină","filament","filamentum","filament","filament","de","actină","",""
"80",10228,"filamentum actini","filament de actină","actina","actini","actină","filament","de","actină","",""
"81",10244,"reticulum endoplasmicum","reticul endoplasmic","plasă","reticulum","endoplasmic","reticul","endoplasmic","","",""
"82",10244,"reticulum endoplasmicum","reticul endoplasmic","endoplasmatic","endoplasmicum","endoplasmic","reticul","endoplasmic","","",""
"83",10249,"neurofilamentum","neurofilament","neurofilamentum","neurofilamentum","neurofilament","neurofilament","","","",""
"84",1024900,"cisterna","cisternă","bine","cisterna","","cisternă","","","",""
"85",10254,"reticulum endoplasmicum granulosum","reticul endoplasmic rugos","plasă","reticulum","endoplasmic","reticul","endoplasmic","rugos","",""
"86",10254,"reticulum endoplasmicum granulosum","reticul endoplasmic rugos","endoplasmatic","endoplasmicum","endoplasmic","reticul","endoplasmic","rugos","",""
"87",10254,"reticulum endoplasmicum granulosum","reticul endoplasmic rugos","granulozei","granulosum","","reticul","endoplasmic","rugos","",""
"88",10256,"reticulum endoplasmicum non granulosum","reticul endoplasmic neted","plasă","reticulum","endoplasmic","reticul","endoplasmic","neted","",""
"89",10256,"reticulum endoplasmicum non granulosum","reticul endoplasmic neted","endoplasmatic","endoplasmicum","endoplasmic","reticul","endoplasmic","neted","",""
"90",10256,"reticulum endoplasmicum non granulosum","reticul endoplasmic neted","nu","non","neted","reticul","endoplasmic","neted","",""
"91",10256,"reticulum endoplasmicum non granulosum","reticul endoplasmic neted","granulozei","granulosum","","reticul","endoplasmic","neted","",""
"92",10260,"ribosoma","ribozom","ribosoma","ribosoma","ribozom","ribozom","","","",""
"93",10263,"polyribosoma","poliribozom","polyribosoma","polyribosoma","poliribozom","poliribozom","","","",""
"94",10274,"vesicula golgiensis","veziculă Golgi","vezicii biliare","vesicula","","veziculă","Golgi","","",""
"95",10274,"vesicula golgiensis","veziculă Golgi","golgiensis","golgiensis","","veziculă","Golgi","","",""
"96",10277,"lysosoma","lizozom","lysosoma","lysosoma","lizozom","lizozom","","","",""
"97",10293,"telolysosoma","corp rezidual","telolysosoma","telolysosoma","","corp","rezidual","","",""
"98",10293,"corpusculum residuale","corp rezidual","corp","corpusculum","corp","corp","rezidual","","",""
"99",10293,"corpusculum residuale","corp rezidual","residuale","residuale","rezidual","corp","rezidual","","",""
"100",10296,"peroxysoma","peroxizom","peroxysoma","peroxysoma","peroxizom","peroxizom","","","",""
