term_id,oTerms,nTerms,base,oWords,matchWords,c..celulă....nucleu....citoplasmă....citosol....citosol....citosol...,c..............................................multinucleată...,c......................................................primordială...,c.............................................................,c..............................................................1,V12,V13,V14,V15,V16,V17,V18
10003,cellula,celulă,celulă,cellula,celulă,celulă,epitelială,foliculară,scuamoasă,celule,multinucleată,stelată,centroacinară,limfocit,receptoare,NA,NA
10005,nucleus,nucleu,nucleu,nucleus,nucleu,nucleu,pulpos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10006,cytoplasma,citoplasmă,citoplasma,cytoplasma,citoplasmă,citoplasmă,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10014,cytosol,citosol,citosol,cytosol,citosol,citosol,citoplasmatică,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10014,matrix cytoplasmica,citosol,matrice,matrix,matrice,matrice,extracelulară,citoplasmatică,NA,NA,NA,NA,NA,NA,NA,NA,NA
10014,matrix cytoplasmica,citosol,cytoplasmica,cytoplasmica,citoplasmatică,citoplasmatică,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10015,organella,organite,organite,organella,organite,organite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10015,organula,organite,organe,organula,organite,organite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10017,plasmalemma,plasmalemă,plasmalema,plasmalemma,plasmalemă,plasmatică,plasmalemă,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10017,membrana cellularis,plasmalemă,filme,membrana,membrană,membrană,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10017,membrana cellularis,plasmalemă,celulă,cellularis,celulară,celulară,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10026,cellula multinucleata,celulă multinucleată,celulă,cellula,celulă,celulă,epitelială,foliculară,scuamoasă,celule,multinucleată,stelată,centroacinară,limfocit,receptoare,NA,NA
10026,cellula multinucleata,celulă multinucleată,multinucleata,multinucleata,multinucleată,multinucleată,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10032,cellula primordialis,celulă germinală primordială,celulă,cellula,celulă,celulă,epitelială,foliculară,scuamoasă,celule,multinucleată,stelată,centroacinară,limfocit,receptoare,NA,NA
10032,cellula primordialis,celulă germinală primordială,primar,primordialis,primordială,primordială,ovarian,primordial,NA,NA,NA,NA,NA,NA,NA,NA,NA
10035,cellula precursoria,celulă stem,celulă,cellula,celulă,celulă,epitelială,foliculară,scuamoasă,celule,multinucleată,stelată,centroacinară,limfocit,receptoare,NA,NA
10035,cellula precursoria,celulă stem,precursori,precursoria,stem,stem,precursor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10036,cellula progenetrix,celulă progenitoare,celulă,cellula,celulă,celulă,epitelială,foliculară,scuamoasă,celule,multinucleată,stelată,centroacinară,limfocit,receptoare,NA,NA
10036,cellula progenetrix,celulă progenitoare,progenetrix,progenetrix,progenitoare,progenitoare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10046,cellula dendritiformis,celulă dendritică,celulă,cellula,celulă,celulă,epitelială,foliculară,scuamoasă,celule,multinucleată,stelată,centroacinară,limfocit,receptoare,NA,NA
10046,cellula dendritiformis,celulă dendritică,dendritiformis,dendritiformis,dendritică,dendritică,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10048,cellula gigantea,celulă gigantă,celulă,cellula,celulă,celulă,epitelială,foliculară,scuamoasă,celule,multinucleată,stelată,centroacinară,limfocit,receptoare,NA,NA
10048,cellula gigantea,celulă gigantă,gigantic,gigantea,gigantă,gigantă,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10050,cellula polyhedralis,celulă poliedrică,celulă,cellula,celulă,celulă,epitelială,foliculară,scuamoasă,celule,multinucleată,stelată,centroacinară,limfocit,receptoare,NA,NA
10050,cellula polyhedralis,celulă poliedrică,poliedrică,polyhedralis,poliedrică,poliedrică,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10052,cellula pyramidalis,celulă piramidală,celulă,cellula,celulă,celulă,epitelială,foliculară,scuamoasă,celule,multinucleată,stelată,centroacinară,limfocit,receptoare,NA,NA
10052,cellula pyramidalis,celulă piramidală,piramidal,pyramidalis,piramidală,piramidală,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10054,cellula squamosa,celulă scuamoasă,celulă,cellula,celulă,celulă,epitelială,foliculară,scuamoasă,celule,multinucleată,stelată,centroacinară,limfocit,receptoare,NA,NA
10054,cellula squamosa,celulă scuamoasă,solzos,squamosa,scuamoasă,scuamoasă,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10054,cellula plana,celulă scuamoasă,celulă,cellula,celulă,celulă,epitelială,foliculară,scuamoasă,celule,multinucleată,stelată,centroacinară,limfocit,receptoare,NA,NA
10054,cellula plana,celulă scuamoasă,plat,plana,aplatizată,pavimentoasă,aplatizată,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10057,glycocalyx,glicocalix,glycocalyx,glycocalyx,glicocalix,glicocalix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10078,microvillus,microvil,microvillus,microvillus,microvil,microvil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10079,limbus microvillosus,margine striată,frontieră,limbus,platou,platou,margine,perie,striată,striat,în,NA,NA,NA,NA,NA,NA
10079,limbus microvillosus,margine striată,microvillosus,microvillosus,microvilos,margine,perie,striată,platou,striat,NA,NA,NA,NA,NA,NA,NA
10079,limbus penicillatus,margine striată,frontieră,limbus,platou,platou,margine,perie,striată,striat,în,NA,NA,NA,NA,NA,NA
10079,limbus penicillatus,margine striată,peri,penicillatus,perie,perie,striată,striat,NA,NA,NA,NA,NA,NA,NA,NA,NA
10079,limbus striatus,margine striată,frontieră,limbus,platou,platou,margine,perie,striată,striat,în,NA,NA,NA,NA,NA,NA
10079,limbus striatus,margine striată,caneluri,striatus,striat,striată,striat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10084,stereocilium,stereocil,stereocilium,stereocilium,stereocil,stereocil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10085,cilium,cil,consiliu,cilium,cil,cil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10086,kinocilium,kinocil,kinocilium,kinocilium,kinocil,chinocil,kinocil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10090,microtubulus centralis,( microtubul central ),microtubulus,microtubulus,microtubul,microtubul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10090,microtubulus centralis,( microtubul central ),central,centralis,central,central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10096,dyneinum,dineină,dyneinum,dyneinum,dineină,dineină,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10104,flagellum,flagel,flagel,flagellum,flagel,flagel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10106,junctiones intercellulares,joncțiuni intercelulare,joncțiune,junctiones,joncțiuni,joncțiuni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
