"","term_id","oTerms","referenceTerms","gtLaRoWords","referenceOk","oWords","matchWords","c..celulă....nucleu....citoplasmă....citosol....citosol....citosol...","c..............matrice....matrice....matrice............plasmatică...","c..............citoplasmatică....citoplasmatică....citoplasmatică...","c..................................membrană....membrană....membrană...","c..................................celulară....celulară....celulară...","c.............................................................","c..............................................................1","c..............................................................2","c..............................................................3","c..............................................................4","c..............................................................5","c..............................................................6"
"1",10003,"cellula","celulă","celulă","celulă","cellula","celulă","celulă","","","","","","","","","","",""
"2",10005,"nucleus","nucleu","nucleu","nucleu","nucleus","nucleu","nucleu","","","","","","","","","","",""
"3",10006,"cytoplasma","citoplasmă","citoplasma","citoplasmă","cytoplasma","citoplasmă","citoplasmă","","","","","","","","","","",""
"4",10014,"cytosol","citosol","citosol","citosol","cytosol","citosol","citosol","matrice","citoplasmatică","","","","","","","","",""
"5",10014,"matrix cytoplasmica","citosol","matrice","","matrix","matrice","citosol","matrice","citoplasmatică","","","","","","","","",""
"6",10014,"matrix cytoplasmica","citosol","cytoplasmica","","cytoplasmica","citoplasmatică","citosol","matrice","citoplasmatică","","","","","","","","",""
"7",10015,"organella","organite","organite","organite","organella","organite","organite","","","","","","","","","","",""
"8",10015,"organula","organite","organe","organite","organula","organite","organite","","","","","","","","","","",""
"9",10017,"plasmalemma","plasmalemă","plasmalema","plasmalemă","plasmalemma","plasmalemă","membrană","plasmatică","plasmalemă","membrană","celulară","","","","","","",""
"10",10017,"membrana cellularis","plasmalemă","filme","","membrana","membrană","membrană","plasmatică","plasmalemă","membrană","celulară","","","","","","",""
"11",10017,"membrana cellularis","plasmalemă","celulă","","cellularis","celulară","membrană","plasmatică","plasmalemă","membrană","celulară","","","","","","",""
"12",10026,"cellula multinucleata","celulă multinucleată","celulă","celulă","cellula","celulă","celulă","multinucleată","","","","","","","","","",""
"13",10026,"cellula multinucleata","celulă multinucleată","multinucleata","multinucleată","multinucleata","multinucleată","celulă","multinucleată","","","","","","","","","",""
"14",10032,"cellula primordialis","celulă germinală primordială","celulă","celulă","cellula","celulă","celulă","germinativă","primordială","","","","","","","","",""
"15",10032,"cellula primordialis","celulă germinală primordială","primar","primordială","primordialis","primordială","celulă","germinativă","primordială","","","","","","","","",""
"16",10035,"cellula precursoria","celulă stem","celulă","celulă","cellula","celulă","celulă","stem","","","","","","","","","",""
"17",10035,"cellula precursoria","celulă stem","precursori","stem","precursoria","stem","celulă","stem","","","","","","","","","",""
"18",10036,"cellula progenetrix","celulă progenitoare","celulă","celulă","cellula","celulă","celulă","progenitoare","","","","","","","","","",""
"19",10036,"cellula progenetrix","celulă progenitoare","progenetrix","progenitoare","progenetrix","progenitoare","celulă","progenitoare","","","","","","","","","",""
"20",10046,"cellula dendritiformis","celulă dendritică","celulă","celulă","cellula","celulă","celulă","dendritică","","","","","","","","","",""
"21",10046,"cellula dendritiformis","celulă dendritică","dendritiformis","dendritică","dendritiformis","dendritică","celulă","dendritică","","","","","","","","","",""
"22",10048,"cellula gigantea","celulă gigantă","celulă","celulă","cellula","celulă","celulă","gigantă","","","","","","","","","",""
"23",10048,"cellula gigantea","celulă gigantă","gigantic","gigantă","gigantea","gigantă","celulă","gigantă","","","","","","","","","",""
"24",10050,"cellula polyhedralis","celulă poliedrică","celulă","celulă","cellula","celulă","celulă","poliedrică","","","","","","","","","",""
"25",10050,"cellula polyhedralis","celulă poliedrică","poliedrică","poliedrică","polyhedralis","poliedrică","celulă","poliedrică","","","","","","","","","",""
"26",10052,"cellula pyramidalis","celulă piramidală","celulă","celulă","cellula","celulă","celulă","piramidală","","","","","","","","","",""
"27",10052,"cellula pyramidalis","celulă piramidală","piramidal","piramidală","pyramidalis","piramidală","celulă","piramidală","","","","","","","","","",""
"28",10054,"cellula squamosa","celulă scuamoasă","celulă","celulă","cellula","celulă","celulă","scuamoasă","celulă","pavimentoasă","celulă","aplatizată","","","","","",""
"29",10054,"cellula squamosa","celulă scuamoasă","solzos","scuamoasă","squamosa","scuamoasă","celulă","scuamoasă","celulă","pavimentoasă","celulă","aplatizată","","","","","",""
"30",10054,"cellula plana","celulă scuamoasă","celulă","celulă","cellula","celulă","celulă","scuamoasă","celulă","pavimentoasă","celulă","aplatizată","","","","","",""
"31",10054,"cellula plana","celulă scuamoasă","plat","","plana","pavimentoasă","celulă","scuamoasă","celulă","pavimentoasă","celulă","aplatizată","","","","","",""
"32",10057,"glycocalyx","glicocalix","glycocalyx","glicocalix","glycocalyx","glicocalix","glicocalix","","","","","","","","","","",""
"33",10078,"microvillus","microvil","microvillus","microvil","microvillus","microvil","microvil","","","","","","","","","","",""
"34",10079,"limbus microvillosus","margine striată","frontieră","margine","limbus","margine","margine","în","perie","margine","striată","","","","","","",""
"35",10079,"limbus microvillosus","margine striată","microvillosus","","microvillosus","în","margine","în","perie","margine","striată","","","","","","",""
"36",10079,"limbus penicillatus","margine striată","frontieră","margine","limbus","margine","margine","în","perie","margine","striată","","","","","","",""
"37",10079,"limbus penicillatus","margine striată","peri","","penicillatus","în","margine","în","perie","margine","striată","","","","","","",""
"38",10079,"limbus striatus","margine striată","frontieră","margine","limbus","margine","margine","în","perie","margine","striată","","","","","","",""
"39",10079,"limbus striatus","margine striată","caneluri","striată","striatus","striată","margine","în","perie","margine","striată","","","","","","",""
"40",10084,"stereocilium","stereocil","stereocilium","stereocil","stereocilium","stereocil","stereocil","","","","","","","","","","",""
