"","id","upd","term_id","lang","part_speech","gender","term","source","description","wiki","email","pages"
"1",1,NA,"13459","la",NA,NA,"neuron corbiforme","fipat",NA,NA,NA,NA
"2",2,NA,"13602","la",NA,NA,"pars peripherica","fipat",NA,NA,NA,NA
"3",3,NA,"10738","la",NA,NA,"adipocytus","fipat",NA,NA,NA,NA
"4",4,NA,"13335","la",NA,NA,"arachnoidea mater","fipat",NA,NA,NA,NA
"5",5,NA,"11222","la",NA,NA,"telodendron","fipat",NA,NA,NA,NA
"6",6,NA,"12356","la",NA,NA,"a. interlobaris","fipat",NA,NA,NA,NA
"7",7,NA,"11346","la",NA,NA,"astrocytus","fipat",NA,NA,NA,NA
"8",8,NA,"12946","la",NA,NA,"astrocytus","fipat",NA,NA,NA,NA
"9",9,NA,"11350","la",NA,NA,"astrocytus fibrosus","fipat",NA,NA,NA,NA
"10",10,NA,"11348","la",NA,NA,"astrocytus protoplasmicus","fipat",NA,NA,NA,NA
"11",11,NA,"11197","la",NA,NA,"axolemma","fipat",NA,NA,NA,NA
"12",12,NA,"11194","la",NA,NA,"axolemma","fipat",NA,NA,NA,NA
"13",13,NA,"11214","la",NA,NA,"axon","fipat",NA,NA,NA,NA
"14",14,NA,"13312","la",NA,NA,"claustrum hematoencephalicum","fipat",NA,NA,NA,NA
"15",15,NA,"11515","la",NA,NA,"cavitas oris","fipat",NA,NA,NA,NA
"16",16,NA,"10003","la",NA,NA,"cellula","fipat",NA,NA,NA,NA
"17",17,NA,"13410","la",NA,NA,"neuron corbiforme","fipat",NA,NA,NA,NA
"18",18,NA,"10610","la",NA,NA,"endotheliocytus","fipat",NA,NA,NA,NA
"19",19,NA,"11339","la",NA,NA,"ependymocytus","fipat",NA,NA,NA,NA
"20",20,NA,"12922","la",NA,NA,"ependymocytus","fipat",NA,NA,NA,NA
"21",21,NA,"10576","la",NA,NA,"epitheliocytus","fipat",NA,NA,NA,NA
"22",22,NA,"10048","la",NA,NA,"cellula gigantea","fipat",NA,NA,NA,NA
"23",23,NA,"11308","la",NA,NA,"gliocytus","fipat",NA,NA,NA,NA
"24",24,NA,"10052","la",NA,NA,"cellula pyramidalis","fipat",NA,NA,NA,NA
"25",25,NA,"13503","la",NA,NA,"neuron pyramidale","fipat",NA,NA,NA,NA
"26",26,NA,"10032","la",NA,NA,"cellula primordialis","fipat",NA,NA,NA,NA
"27",27,NA,"10036","la",NA,NA,"cellula progenetrix","fipat",NA,NA,NA,NA
"28",28,NA,"13405","la",NA,NA,"neuron purkinjense","fipat",NA,NA,NA,NA
"29",29,NA,"14058","la",NA,NA,"gliocytus ganglionicus","fipat",NA,NA,NA,NA
"30",30,NA,"11367","la",NA,NA,"gliocytus ganglionaris","fipat",NA,NA,NA,NA
"31",31,NA,"11370","la",NA,NA,"schwannocytus","fipat",NA,NA,NA,NA
"32",32,NA,"10406","la",NA,NA,"centriolum","fipat",NA,NA,NA,NA
"33",33,NA,"10218","la",NA,NA,"centriolum","fipat",NA,NA,NA,NA
"34",34,NA,"13389","la",NA,NA,"cerebellum","fipat",NA,NA,NA,NA
"35",35,NA,"1024900","la",NA,NA,"cisterna","fipat",NA,NA,NA,NA
"36",36,NA,"10006","la",NA,NA,"cytoplasma","fipat",NA,NA,NA,NA
"37",37,NA,"10353","la",NA,NA,"cytoskeleton","fipat",NA,NA,NA,NA
"38",38,NA,"13663","la",NA,NA,"corpusculum lamellosum","fipat",NA,NA,NA,NA
"39",39,NA,"13391","la",NA,NA,"cortex cerebelli","fipat",NA,NA,NA,NA
"40",40,NA,"13436","la",NA,NA,"cortex cerebri","fipat",NA,NA,NA,NA
"41",41,NA,"14080","la",NA,NA,"macula adhaerens","fipat",NA,NA,NA,NA
"42",42,NA,"11653","la",NA,NA,"dens","fipat",NA,NA,NA,NA
"43",43,NA,"13326","la",NA,NA,"pachymeninx","fipat",NA,NA,NA,NA
"44",44,NA,"12916","la",NA,NA,"eminentia mediana","fipat",NA,NA,NA,NA
"45",45,NA,"13611","la",NA,NA,"endoneurium","fipat",NA,NA,NA,NA
"46",46,NA,"10607","la",NA,NA,"endothelium","fipat",NA,NA,NA,NA
"47",47,NA,"10980","la",NA,NA,"granulocytus acidophilus","fipat",NA,NA,NA,NA
"48",48,NA,"13615","la",NA,NA,"epineurium","fipat",NA,NA,NA,NA
"49",49,NA,"10606","la",NA,NA,"epithelium simplex squamosum","fipat",NA,NA,NA,NA
"50",50,NA,"11874","la",NA,NA,"oesophagus","fipat",NA,NA,NA,NA
"51",51,NA,"10762","la",NA,NA,"fasciculus collageni","fipat",NA,NA,NA,NA
"52",52,NA,"10763","la",NA,NA,"fibra collageni","fipat",NA,NA,NA,NA
"53",53,NA,"10769","la",NA,NA,"fibra elastica","fipat",NA,NA,NA,NA
"54",54,NA,"11210","la",NA,NA,"neurofibra afferens","fipat",NA,NA,NA,NA
"55",55,NA,"12924","la",NA,NA,"neurofibra non myelinata","fipat",NA,NA,NA,NA
"56",56,NA,"12948","la",NA,NA,"neurofibra non myelinata","fipat",NA,NA,NA,NA
