"","id","upd","term_id","lang","part_speech","gender","term","source","description","wiki","email","pages"
"1",1,NA,"13459","la",NA,NA,"neuron",NA,NA,NA,NA,NA
"2",2,NA,"13459","la",NA,NA,"corbiforme",NA,NA,NA,NA,NA
"3",3,NA,"13602","la",NA,NA,"pars",NA,NA,NA,NA,NA
"4",4,NA,"13602","la",NA,NA,"peripherica",NA,NA,NA,NA,NA
"5",5,NA,"13602","la",NA,NA,"systema",NA,NA,NA,NA,NA
"6",6,NA,"13602","la",NA,NA,"nervosum",NA,NA,NA,NA,NA
"7",7,NA,"13602","la",NA,NA,"periphericum",NA,NA,NA,NA,NA
"8",8,NA,"10738","la",NA,NA,"adipocytus",NA,NA,NA,NA,NA
"9",9,NA,"13335","la",NA,NA,"arachnoidea",NA,NA,NA,NA,NA
"10",10,NA,"13335","la",NA,NA,"mater",NA,NA,NA,NA,NA
"11",11,NA,"11222","la",NA,NA,"telodendron",NA,NA,NA,NA,NA
"12",12,NA,"12356","la",NA,NA,"a.",NA,NA,NA,NA,NA
"13",13,NA,"12356","la",NA,NA,"interlobaris",NA,NA,NA,NA,NA
"14",14,NA,"11346","la",NA,NA,"astrocytus",NA,NA,NA,NA,NA
"15",15,NA,"12946","la",NA,NA,"astrocytus",NA,NA,NA,NA,NA
"16",16,NA,"11350","la",NA,NA,"astrocytus",NA,NA,NA,NA,NA
"17",17,NA,"11350","la",NA,NA,"fibrosus",NA,NA,NA,NA,NA
"18",18,NA,"11348","la",NA,NA,"astrocytus",NA,NA,NA,NA,NA
"19",19,NA,"11348","la",NA,NA,"protoplasmicus",NA,NA,NA,NA,NA
"20",20,NA,"11197","la",NA,NA,"axolemma",NA,NA,NA,NA,NA
"21",21,NA,"11194","la",NA,NA,"axolemma",NA,NA,NA,NA,NA
"22",22,NA,"11214","la",NA,NA,"axon",NA,NA,NA,NA,NA
"23",23,NA,"13312","la",NA,NA,"claustrum",NA,NA,NA,NA,NA
"24",24,NA,"13312","la",NA,NA,"hematoencephalicum",NA,NA,NA,NA,NA
"25",25,NA,"11515","la",NA,NA,"cavitas",NA,NA,NA,NA,NA
"26",26,NA,"11515","la",NA,NA,"oris",NA,NA,NA,NA,NA
