"","words","index"
"1","lamină","Fosfatidiletanolamină (cefalină), membranară, 23"
"2","acumulare","acumularea de, afecţiuni asociate cu.
eliberarea de, 415 sinteza şi acumularea de, 411, 413-415, 4131 deficitul de iod şi, reglarea, 399f, 413
eliberarea de, 415 sinteza şi acumularea de, 411, 413-415, 413f reglarea, 399f, 413
eliberarea de, 415 sinteza şi acumularea de, 411, 413-415, 413f
capacitatea de regenerare a, 91-93b celule ale, 91-102, 92f, 93t compartiment pentru neutrofile, 248 dens, 118f, 119, 120f, 121f din scheletul fibros cardiac, 217 fibrocartilajul asociat cu, 132 neregulat, 118f, 119, 119f regulat, 118f, 119, 120f, 121f deplasarea fluidului prin, 116-117, 118f din derm, 360, 361f, 366-367, 366f fibrele, 91, 102-113 lax, 118-119, 118f, 119f lichidul tisular din, 116 substanţa fundamentală a. 91, 112f. UŞII?, 113f şi acumularea lichidiană în edem, 102b, 117 tipuri de, 117-121, 118f, 122f vascular, 205, 206-207"
"3","acin","Acin/celule acinare
Acini seroşi, ai glandelor salivare, 317, 318f, 319f
Celule centroacinare, pancreatice, 321, 321f, 322f
ale glandelor salivare, 317, 318f, 319f parotide, 318, 319f sublinguale. 317, 329, 321f submandibulare, 317, 318f, 319f, 320 pancreatice (acini/celule acinare), 35f, 41f, 42f, 83f, 84f, 85f, 321f, 322, 322f, 323f, 323f
Corpusculi Pacini, 368, 368f
Corpusculi Vater-Pacini, 368, 368f
Glande acinare. 80. 80f glandele sebacee. 370 pancreasul. 321
Glande tubuloacinare. 80, 80f
boli care afectează, 317, 321 celule acinare/acini ai, 35f, 41f. 42f, 83f."
"4","acrozom","Acrozom. 423f, 424-425, 424f
acţiunea acrozomului asupra, 425
Fază acrozomală, a spermiogenezei. 423f, 424-425, 424f
in trompa uterinâ, 435f, 443 reacţia acrozomală şi. 425
Granule acrozomale, 423f. 424
Granule proacrozomale, 422-424
acţiunea acrozomului la nivelul. 425 atrezia, 435-439, 442f eliberarea (la ovulaţie), 439, 443 primare, 435
Reacţie acrozomală, 425
Veziculă acrozomală, 423f, 424
acrozomale, 423f, 424 de apoptoză, 64, 65b de pinocitoză, 26, 27f, 82
acţiunea acrozomului la nivelul, 425"
"5","actină","Actină/fîlamente de actină, 44-45, 44f, 47f
Actină F, 188f. 189, 192
Filamente subţiri (de actină), 44-45, 44f, 47f
PRL vezi Prolactină
Prolactină (PRL), 397t, 398f celulele care secretă, 397t efectele, 397t, 398f"
"6","activ","Activatori ai plasminogenului, 237
Activină, 394, 428, 429f
Activitate ciclică a epiteliului seminifer, 426
substanţa lent-reactivă a, secreţia mastocitară de, 97, 97-99b
imunocitochimia şi identificarea, 16t inactivarea de către anticorpi a, 255, 256f
sodiu) şi transportul activ, 81-82
ale epiteliului olfactiv, 344, 344f ale epiteliului respirator, 78f, 341, 342f
ale epiteliului olfactiv, 344, 344f ale maculelor saculare şi utriculare, 471,4711 din tubii seminiferi (celule Sertoli), 419, 420f. 421f retiniene, 466
Celule olfactive, 344, 344f
tipurile specifice reglarea activităţii osteoclastelor de către, 136 secreţia microglială de, 162
IgM şi activarea, 255
transmiterea ereditară a hemofiliei şi, 237b inactiv, în neutrofile, 227f, 228
ovarian, 435, 436f, 438f seminifer, 419, 420f, 421f, 422f activitatea ciclică a, 426
Epiteliu olfactiv, 341-344, 344f
activitatea ciclică a, 426
Factori vasoactivi celulele endoteliale şi sinteza de. 206
Bowman. în epiteliul olfactiv, 344, 344f controlul, 81 formarea, 79. 79f
efectele asupra ţesutului osos, 148b identificarea imunocitochimică a, 16t reglarea activităţii osteoclastelor de către, 136 reticulul endoplasmic neted şi metabolismul, 35 sistemul hipotalamo-hipofizar, 393, 394f, 398f tumorile hipofizare care secretă, 399
Lob olfactiv, 344
activate, 95b alveolare, 352f, 354f, 357 funcţii ale, 93t. 95-96b, 97t hepatice (celule Kupffer). 97t, 325f, 326, 329f intestinale, 300, 307f, 308f, 310f lizozomii din, 38, 39f originea şi maturarea, 92f, 93. 95. 249 rolul în apoptozâ, 64, 64b. 65f
catalaza şi inactivarea, 40
Polipeptid intestinal vasoactiv (VIP), 298t
Pompă de sodiu (ATPază Na+/K+ dependentă), şi transportul activ, 81-82
Precursori, radioactivi, pentru autoradiografie, 7, 8
Reacţie PAS (acid per-iodic şi reactiv
Sensibilitate olfactivă, 342-344
activitate ciclica a epiteliului seminifer
SRS-A. vezi Substanţă lent-reactivă a anafilaxiei
Substanţă lent-reactivâ a anafilaxiei (SRSA), secreţia mastocitarâ de, 97, 97-99b
Substanţe radioactive, localizare, prin autoradiografie, 7-8, 8f, 9f
activitatea imunologică la nivelul, 366 culoarea, 363. vezi şi Melanocite efectele senescenţei asupra, 367b elasticitatea, 360 funcţiile, 360 glandele din, 370-372. 370f. 371f, 372f gros (glabru), 360-361, 360f. 363 pigmentarea boli care afectează, 366b melanocitele şi, 363-365, 364f, 366b receptorii senzoriali din, 367-368, 368f straturile, 360, 360f. vezi şi Derm; Epiderm subţire, 360-36, 361f, 363 tumori ale, 372b. vezi şi Cancer cutanat vascularizaţia, 367-368
Transport activ, 81-82
sau organele specifice şi Celule epiteliale controlul activităţii glandulare şi, 81 de acoperire, 73t, 74f, 75-77 descrierea, 80-89 formarea glandelor din, 79, 79f glandular, 75, 77-80, 79f, 80f, 81f inervaţia, 81 metaplazia, 81b polaritatea, 80-81, 84f reînnoirea, 81 tipuri de, 73t, 74f, 75-80
VIP (polipeptid intestinal vasoactiv), 298t"
"7","către","imunocitochimia şi identificarea, 16t inactivarea de către anticorpi a, 255, 256f
tipurile specifice reglarea activităţii osteoclastelor de către, 136 secreţia microglială de, 162
efectele asupra ţesutului osos, 148b identificarea imunocitochimică a, 16t reglarea activităţii osteoclastelor de către, 136 reticulul endoplasmic neted şi metabolismul, 35 sistemul hipotalamo-hipofizar, 393, 394f, 398f tumorile hipofizare care secretă, 399
originea/diferenţierea/maturarea, 92f, 239f, 249, 257, 257f, 267-268. 269f receptorii, 258 recunoaşterea moleculelor MHC de către   259 timice, 249, 257, 257f, 258t, 267-268, 267f
ale ţesutului conjunctiv, 97 eliberarea de mediatori chimici de către, 97-99b, 100f funcţii ale. 93t. 97 mucoase, 97 originea, 92f, 97
Nervi vasomotori, inervaţia vaselor sanguine de către, 207
inervaţia cordului de către, 219
inervaţia cordului de către, 219 inervaţia ţesutului adipos de către, 124 inervaţia vaselor sanguine de către, 207
inervaţia cordului de către, 219 inervaţia ţesutului adipos de către, 124 inervaţia vaselor sanguine de către, 207
inervaţia cordului de către, 219 inervaţia ţesutului adipos de către, 124 inervaţia vaselor sanguine de către, 207
Taxol, afectarea microtubulilor de către, 43, 43b"
"8","adipocit","depozitarea în/eliberarea din adipocite a, 124, 125f
Adipocite hepatice (celule stelate/lto), 326, 326b depozitarea vitaminei A în, 333
Celule adipoase (adipocite). 102, 123, 124f vezi şi Ţesut adipos funcţii ale, 93t, 124, 125f, 126
lipide din adipocite. 124. 125f
adipocite, 124
adipocite, 124, 125f
depozitarea hepatică a, 333 stocarea/transportul în adipocite al, 123, 124, 125f"
"9","asociate","acumularea de, afecţiuni asociate cu.
afecţiuni asociate cu, 40b fi-tubulinâ, 42, 43f, 46f
boli asociate cu, 232b funcţii ale, 93t, 224t, 232 granulele specifice ale, 228t, 232, 232f, 233f
conjugarea/secreţia de, la nivel hepatic, 329-330b, 333, 335 boli asociate cu, 329-330b, 333b, 335f
citoscheletul, 23, 42-50 componentele citoplasmatice ale, 22-42 boli asociate cu anomalii ale, 50b, 50t comunicarea între, 27-28. vezi şi Joncţiuni celulare diferenţierea, 22, 23t ecologia, 22 eucariote. 22. 22f fracţionarea, 9, 11f. 12f interacţiunea cu matricea extracelulară a, 115. 117f joncţiunile între, 27, 68f, 69-70, 69f, 70f, 71f nucleul, 51-65, 51f, 52f picnotic, în apoptoză, 64, 64f procariote, 22 proliferarea, 62-63b
capilar, 212, 215f alveolar, 350. 352f, 353, 353f corneean, 457 originea, 92f vascular, 205, 206, 206f, 207f bolile asociate cu. 206b
asociat fibrilelor, 103, 103r care formează fibrile, 103, 103t, 104f care formează reţele, 103t, 104 de ancorare, 103t, 104, 104f, 105f din cartilaj, 128, 128f, 129, 129f din pericondru, 129-130 din lamina bazalâ/membrana bazală, 67, 67f, 68f din matricea osoasă, 138 din membrana bazală glomerulară, 373374, 379f din tegument, 367 senescenţa şi, 367b din vasele sanguine/adventice, 206, 207 sinteza de, 104-107, 106f boli asociate cu. 107b, 107t tipuri de, 103, 103t
afecţiuni asociate cu anomalii ale, 50t
boli asociate cu deficitul de, 38-39b, 39t, 50t, 114-115b eliberarea extracelularâ şi, 38b
afecţiuni asociate cu anomalii ale, 229230b funcţiile, 93t, 224t granulele specifice din, 228t, 229. 230f, 231f numărul şi procentajul, 229t, 229 originea/diferenţierea/maturarea, 92f, 239f, 243f
afecţiuni asociate cu anomalii ale, 224225b. 225-226b funcţiile, 224t, 225-226
utilizări terapeutice ale/afecţiuni asociate. 240b timusul şi producţia de, 268
creştere hematopoieticâ), 239-240. 240t utilizări terapeutice ale/boli asociate cu.
afecţiuni asociate cu anomalii ale degradării, 114-115b
hematopoieticâ/poietine), 239-240, 240t utilizări terapeutice ale/ afecţiuni asociate, 240b
afecţiuni cutanate buloase asociate cu, 366b
boli asociate cu hiperproducţie de. 168b
MAP (proteine asociate microtubulilor), 42
anormali, boli asociate cu, 40b, 332b
anormali, boli asociate cu, 40b, 332b
ale surfactantului, 354 asociate microtubulilor (MAP), 42 bazică majoră, 229 de ancorare, 34, 34f de transfer, transportul fosfolipidelor din
sinteza de, 25, 26f motorii, 43 nonhistonice, 54 periferice, 23, 24f, 225 peroxizomale, 40 anormale, boli asociate cu, 40b plasmatice, 223-224
boli asociate cu degradarea anormală a, 114-115b
boli asociate cu, 136b influenţa parathormonului asupra, 416
specifice apendice, 315 cancer al, 315b cavitatea orală, 282-287, 288f, 289f celulele enteroendocrine din, 294-295, 295b, 297f, 298f, 298t esofagul, 287-288, 290f intestinul gros, 311-313, 313f, 314f, 315f intestinul subţire, 298-311, 312f organele asociate cu. 317-339. vezi şi organele specifice tumori ale, 337b protecţia imunologică a, 300, 310f reînnoirea celulelor din, 313, 314f stomacul, 288-298. 291f, 299f structura, 281, 282f
primar (imatur, reticular), 137-138, 141, 141f resorbţia, 136, 137f boli asociate cu, 136b influenţa parathormonului asupra, 416 rolul metabolic al, 145-148 secundar (matur, lamelar). 137-140, 138f. 139f, 140f, 141f structura internă a, 145 tipuri de, 137-140 tumori ale, 148b vindecarea fracturilor şi, 145b, 147f"
"10","adluminal","Compartiment adluminal, 426, 426f"
