"","words","index"
"1","acin","Acin/celule acinare"
"2","acrozom","Acrozom. 423f, 424-425, 424f"
"3","actină","Actină/fîlamente de actină, 44-45, 44f, 47f
Actină F, 188f. 189, 192
Filamente subţiri (de actină), 44-45, 44f, 47f"
"4","activ","sodiu) şi transportul activ, 81-82
Pompă de sodiu (ATPază Na+/K+ dependentă), şi transportul activ, 81-82
Transport activ, 81-82"
"5","către","imunocitochimia şi identificarea, 16t inactivarea de către anticorpi a, 255, 256f
tipurile specifice reglarea activităţii osteoclastelor de către, 136 secreţia microglială de, 162
efectele asupra ţesutului osos, 148b identificarea imunocitochimică a, 16t reglarea activităţii osteoclastelor de către, 136 reticulul endoplasmic neted şi metabolismul, 35 sistemul hipotalamo-hipofizar, 393, 394f, 398f tumorile hipofizare care secretă, 399
originea/diferenţierea/maturarea, 92f, 239f, 249, 257, 257f, 267-268. 269f receptorii, 258 recunoaşterea moleculelor MHC de către   259 timice, 249, 257, 257f, 258t, 267-268, 267f
ale ţesutului conjunctiv, 97 eliberarea de mediatori chimici de către, 97-99b, 100f funcţii ale. 93t. 97 mucoase, 97 originea, 92f, 97
Nervi vasomotori, inervaţia vaselor sanguine de către, 207
inervaţia cordului de către, 219
inervaţia cordului de către, 219 inervaţia ţesutului adipos de către, 124 inervaţia vaselor sanguine de către, 207
inervaţia cordului de către, 219 inervaţia ţesutului adipos de către, 124 inervaţia vaselor sanguine de către, 207
inervaţia cordului de către, 219 inervaţia ţesutului adipos de către, 124 inervaţia vaselor sanguine de către, 207
Taxol, afectarea microtubulilor de către, 43, 43b"
"6","asociate","acumularea de, afecţiuni asociate cu.
afecţiuni asociate cu, 40b fi-tubulinâ, 42, 43f, 46f
boli asociate cu, 232b funcţii ale, 93t, 224t, 232 granulele specifice ale, 228t, 232, 232f, 233f
conjugarea/secreţia de, la nivel hepatic, 329-330b, 333, 335 boli asociate cu, 329-330b, 333b, 335f
citoscheletul, 23, 42-50 componentele citoplasmatice ale, 22-42 boli asociate cu anomalii ale, 50b, 50t comunicarea între, 27-28. vezi şi Joncţiuni celulare diferenţierea, 22, 23t ecologia, 22 eucariote. 22. 22f fracţionarea, 9, 11f. 12f interacţiunea cu matricea extracelulară a, 115. 117f joncţiunile între, 27, 68f, 69-70, 69f, 70f, 71f nucleul, 51-65, 51f, 52f picnotic, în apoptoză, 64, 64f procariote, 22 proliferarea, 62-63b
capilar, 212, 215f alveolar, 350. 352f, 353, 353f corneean, 457 originea, 92f vascular, 205, 206, 206f, 207f bolile asociate cu. 206b
asociat fibrilelor, 103, 103r care formează fibrile, 103, 103t, 104f care formează reţele, 103t, 104 de ancorare, 103t, 104, 104f, 105f din cartilaj, 128, 128f, 129, 129f din pericondru, 129-130 din lamina bazalâ/membrana bazală, 67, 67f, 68f din matricea osoasă, 138 din membrana bazală glomerulară, 373374, 379f din tegument, 367 senescenţa şi, 367b din vasele sanguine/adventice, 206, 207 sinteza de, 104-107, 106f boli asociate cu. 107b, 107t tipuri de, 103, 103t
afecţiuni asociate cu anomalii ale, 50t
boli asociate cu deficitul de, 38-39b, 39t, 50t, 114-115b eliberarea extracelularâ şi, 38b
afecţiuni asociate cu anomalii ale, 229230b funcţiile, 93t, 224t granulele specifice din, 228t, 229. 230f, 231f numărul şi procentajul, 229t, 229 originea/diferenţierea/maturarea, 92f, 239f, 243f
afecţiuni asociate cu anomalii ale, 224225b. 225-226b funcţiile, 224t, 225-226
utilizări terapeutice ale/afecţiuni asociate. 240b timusul şi producţia de, 268
creştere hematopoieticâ), 239-240. 240t utilizări terapeutice ale/boli asociate cu.
afecţiuni asociate cu anomalii ale degradării, 114-115b
hematopoieticâ/poietine), 239-240, 240t utilizări terapeutice ale/ afecţiuni asociate, 240b
afecţiuni cutanate buloase asociate cu, 366b
boli asociate cu hiperproducţie de. 168b
MAP (proteine asociate microtubulilor), 42
anormali, boli asociate cu, 40b, 332b
anormali, boli asociate cu, 40b, 332b
ale surfactantului, 354 asociate microtubulilor (MAP), 42 bazică majoră, 229 de ancorare, 34, 34f de transfer, transportul fosfolipidelor din
sinteza de, 25, 26f motorii, 43 nonhistonice, 54 periferice, 23, 24f, 225 peroxizomale, 40 anormale, boli asociate cu, 40b plasmatice, 223-224
boli asociate cu degradarea anormală a, 114-115b
boli asociate cu, 136b influenţa parathormonului asupra, 416
specifice apendice, 315 cancer al, 315b cavitatea orală, 282-287, 288f, 289f celulele enteroendocrine din, 294-295, 295b, 297f, 298f, 298t esofagul, 287-288, 290f intestinul gros, 311-313, 313f, 314f, 315f intestinul subţire, 298-311, 312f organele asociate cu. 317-339. vezi şi organele specifice tumori ale, 337b protecţia imunologică a, 300, 310f reînnoirea celulelor din, 313, 314f stomacul, 288-298. 291f, 299f structura, 281, 282f
primar (imatur, reticular), 137-138, 141, 141f resorbţia, 136, 137f boli asociate cu, 136b influenţa parathormonului asupra, 416 rolul metabolic al, 145-148 secundar (matur, lamelar). 137-140, 138f. 139f, 140f, 141f structura internă a, 145 tipuri de, 137-140 tumori ale, 148b vindecarea fracturilor şi, 145b, 147f"
"7","adluminal","Compartiment adluminal, 426, 426f"
"8","adluminal","Compartiment adluminal, 426, 426f"
"9","anexe","Glande genitale anexe, la sexul masculin.
structunle specifice corpul vitros. 456. 4571, 458f. 462 cristalin. 456, 457f. 458f, 462. 462b, 462f retina. 458f. 462-467, 463f, 464f, 465f, 466f, 467f, 468f structuri anexe ale. 467-468. 469f, 470f tunica externă (fibroasă) a, 456-457, 457f. 458f. 459f tunica mi|locie (vasculară, uveea) a, 457-461, 457f, 458f, 459f. 460f, 461f
glande genitale anexe, 418f, 429-433, 432f penis, 418f, 433, 433b. 433f testicule, 418-428, 418f"
"10","alveolar","Alveolă dentară (os alveolar), 283, 285f, 287, 289f
capilar, 212, 215f alveolar, 350. 352f, 353, 353f corneean, 457 originea, 92f vascular, 205, 206, 206f, 207f bolile asociate cu. 206b
alveolar, 350, 352f. 353, 353f
Lichid bronho-alveolar, 357
alveolar, 350, 353, 353f capilar, 214-215"
"11","anagen","Anagen, 368"
"12","anafază","Anafază, 58, 58f, 59f. 60, 62f"
"13","anticorp","Interacţiune antigen-anticorp, 99b"
"14","antigenică","şi prezentarea antigenică, 259, 259f, 260, 261f, 262f
Prezentare antigenică, 259, 259f, 260, 261f, 262f"
"15","deschis","Sistem canalicular deschis, al plachetelor, 236, 236f"
"16","apoptoză","citoscheletul, 23, 42-50 componentele citoplasmatice ale, 22-42 boli asociate cu anomalii ale, 50b, 50t comunicarea între, 27-28. vezi şi Joncţiuni celulare diferenţierea, 22, 23t ecologia, 22 eucariote. 22. 22f fracţionarea, 9, 11f. 12f interacţiunea cu matricea extracelulară a, 115. 117f joncţiunile între, 27, 68f, 69-70, 69f, 70f, 71f nucleul, 51-65, 51f, 52f picnotic, în apoptoză, 64, 64f procariote, 22 proliferarea, 62-63b
Moarte celulară, programată (apoptoză), 64, 64b, 64f, 65f involuţia corpului galben prin, 440 rolul limfocitelor T citotoxice/CD8+ în, 258
celulari, 22, 51-65, 51f, 52f ai celulelor epiteliale, 66 picnotici, în apoptoză, 64, 64f neuronali, 165
acrozomale, 423f, 424 de apoptoză, 64, 65b de pinocitoză, 26, 27f, 82"
"17","apendice","Apendice, 315
specifice apendice, 315 cancer al, 315b cavitatea orală, 282-287, 288f, 289f celulele enteroendocrine din, 294-295, 295b, 297f, 298f, 298t esofagul, 287-288, 290f intestinul gros, 311-313, 313f, 314f, 315f intestinul subţire, 298-311, 312f organele asociate cu. 317-339. vezi şi organele specifice tumori ale, 337b protecţia imunologică a, 300, 310f reînnoirea celulelor din, 313, 314f stomacul, 288-298. 291f, 299f structura, 281, 282f"
"18","arteră","Arteră ciliară, 457 f
Arteră hepatică, 325f, 328
Arteră hipofizară inferioară, 392, 394f
Arteră hipofizară superioară, 392, 394f
Arteră renală, 385
Arteră splenică, 274"
"19","atrezie","Atrezie foliculară, 435-439, 442f"
"20","auditive","Oscioare auditive, 407-471, 470f, 474
ai canalului epididimar, 429 ai celulelor păroase (auditive), 471. 472, 474 funcţia vestibulară a, 473
externă, 469, 470f funcţiile auditive ale, 470f, 474 funcţiile vestibulare ale, 472f, 473 internă, 469, 470f, 471, 473f medie, 469-470, 470f transmiterea undelor sonore în, 470f, 474
funcţii auditive ale. 470f, 474 funcţiile vestibulare ale, 472f, 473 transmiterea undelor sonore la nivelul, 469, 470f, 474"
"21","axolemă","Axolemă, 157
a axonului (axolemă), 157 a celulelor musculare (sarcolemă), 182, 183f a eritrocitelor, 225 structura, 22f, 23-25, 23f, 24f, 25f, 26f"
"22","axon","Axon, 154f, 155, 155f, 157-158 al neuronului motor, 154f, 195 degenerarea şi regenerarea, 179b, 180f"
"23","axonale","Ramuri colaterale, axonale, 154f, 158"
"24","axonal","Flux axonal anterograd, 158 retrograd, 158"
"25","axonemă","Tipar 9+2 (axonemă), 44, 46f"
"26","axon","Axon, 154f, 155, 155f, 157-158 al neuronului motor, 154f, 195 degenerarea şi regenerarea, 179b, 180f"
"27","axoplasmă","Axoplasmă, 157, 158 rS-endorfine, 161f. vezi şi Endorfine fi-globuline, 223"
"28","bazală","asociat fibrilelor, 103, 103r care formează fibrile, 103, 103t, 104f care formează reţele, 103t, 104 de ancorare, 103t, 104, 104f, 105f din cartilaj, 128, 128f, 129, 129f din pericondru, 129-130 din lamina bazalâ/membrana bazală, 67, 67f, 68f din matricea osoasă, 138 din membrana bazală glomerulară, 373374, 379f din tegument, 367 senescenţa şi, 367b din vasele sanguine/adventice, 206, 207 sinteza de, 104-107, 106f boli asociate cu. 107b, 107t tipuri de, 103, 103t
asociat fibrilelor, 103, 103r care formează fibrile, 103, 103t, 104f care formează reţele, 103t, 104 de ancorare, 103t, 104, 104f, 105f din cartilaj, 128, 128f, 129, 129f din pericondru, 129-130 din lamina bazalâ/membrana bazală, 67, 67f, 68f din matricea osoasă, 138 din membrana bazală glomerulară, 373374, 379f din tegument, 367 senescenţa şi, 367b din vasele sanguine/adventice, 206, 207 sinteza de, 104-107, 106f boli asociate cu. 107b, 107t tipuri de, 103, 103t
Deciduâ (bazală/capsulară/parietală), 450, 450f
în membrana bazală glomerulară, 373
în membrana bazală, 67
Lamina bazalâ, 67-68, 67f. vezi şi Membrană bazală capilară, 212, 215f dermicâ, 366
din membrana bazală glomerulară, 373
Membrană bazală, 67f, 68, 68f dermicâ, 366 glomerulară, 373-374, 377f, 379f
în membrana bazală, 67 localizarea, în celule şi ţesuturi, 12-13
Zona bazală, endometrialâ, 446"
"29","bronho","Lichid bronho-alveolar, 357"
"30","bulb","Bulb al firului de păr, 368-369, 369f"
"31","calcificat","Zonă de cartilaj calcificat, 144, 144f"
"32","calmodulină","Calmodulină, şi contracţia musculaturii netede, 199
Complex calciu-calmodulină, 199"
"33","canalicular ","Sistem canalicular deschis, al plachetelor, 236, 236f"
"34","capsulă","Capsulă a cristalinului, 457, 462, 462f a ganglionilor limfatici, 269. 270f. 271f a glandelor salivare, 317 amigdaliană. 264, 265f articulară, 149f, 150. 151f"
"35","catagen","Catagen. 368"
