"la","en","s1","en_alt","s2","en_alt2","s3","ro","s4","ro_alt1","s5","ro_alt2","s6","ro_alt3","es","calc"
"[]","[]",,,,,,"[]",,,,,,,,
"[a]","[a]",,,,,,"[a]",,,,,,,"[a]",
"[b]","[b]",,,,,,"[b]",,,,,,,"[b]",
"[lamina i]","[ plate 1 ]",,,,,,"[lamină i]",,"[Strat 1]",,,,,,
"[lamina ii]","[ plate 2 ]",,,,,,"[lamină ii]",,"[Strat 2]",,,,,,
"[lamina iii]","[ plate 3 ]",,,,,,"[lamină iii]",,"[Strat 3]",,,,,,
"[lamina iv]","[ plate 4 ]",,,,,,"[lamină iv]",,"[Strat 4]",,,,,,
"[lamina v]","[ plate 5 ]",,,,,,"[lamină v]",,"[Strat 5]",,,,,,
"[lamina vi]","[ plate 6 ]",,,,,,"[lamină vi]",,"[Strat 6]",,,,,,
"*","*",,,,,,"*",,,,,,,,
"a","from",,,,,,"a",,,,,,,,
"a","a",,,,,,"a",,,,,,,,
"abdominale","abdominal",,,,,,"abdominal",,,,,,,,
"aberrans","aberrant ",,,,,,"aberant ",,,,,,,,
"accessoria","accessory",,,,,,"accesorii",,,,,,,,
"accessus","access",,,,,,"acces",,,,,,,,
"accumulans","storing",,,,,,"acumulatoare",,"depozitantă",,,,,,
"acervatio","accumulation",,,,,,"acumulare",,,,,,,,
"acervulus","acervulus",,,,,,"acervulus",,,,,,,,
"acidi","acid",,,,,,"al acidului",,,,,,,,
"acidicum","acidic ",,,,,,"acidică",,,,,,,,
"acidophilus","acidophil",,,,,,"acidofilă",,,,,,,,
"acinocytus","acinocyte",,,,,,"acinocit",,,,,,,,
"acinosa","acinous",,,,,,"acinară",,,,,,,,
"acinus","acinus",,,,,,"acin",,,,,,,,
"acrocentricum","acrocentric ",,,,,,"acrocentric ",,,,,,,,
"acroplaxoma","acroplaxoma",,,,,,"acroplaxoma",,,,,,,,
"acrosoma","acrosome",,,,,,"acrozom",,,,,,,,
"acrosomatogenesis","acrosomatogenesis",,,,,,"acrosomatogeneză",,,,,,,,
"actini","actin ",,,,,,"actinic",,"de actină",,,,,,
"actininum","actininum",,,,,,"actinină",,,,,,,,
"actinum","actin",,,,,,"actină",,,,,,,,
"activa","active",,,,,,"activ",,,,,,,,
"ad","to",,,,,,"către",,,,,,,,
"adenohypophysiale","adenohypophysial",,,,,,"adenohipofizar",,,,,,,,
"adhaerens","adhesive",,"adhaerens",,,,"aderentă",,,,,,,,
"adhaesionis","adherence",,,,,,"de adeziune",,"aderență",,,,,,
"adipis","fat",,,,,,"adipoasă",,"grăsoasă",,,,,,
"adipocytus","adipocyte",,,,,,"adipocit",,,,,,,,
"adjuncta","associated ",,"related ",,,,"asociate",,,,,,,,
"adjunctum","adjoined",,"connected",,,,"adiacent",,"asociat",,,,,,
"adjunctus","adjoined",,"connected",,,,"adiacent",,,,,,,,
"adjuvans","helper",,,,,,"ajutătoare",,,,,,,,
"adluminale","adluminal",,,,,,"adluminal",,,,,,,,
"adluminalis","superficial",,"Adluminal",,,,"adluminal",,"superficial",,,,,,
"adnexa","adnexa",,,,,,"anexă",,,,,,,,
"adnexae","appendages",,,,,,"anexe",,,,,,,,
"adrenalocytus","adrenalocyte",,,,,,"adrenalocit",,,,,,,,
"adrenergicum","adrenergic",,,,,,"adrenergic",,,,,,,,
"adulta","adult",,,,,,"adultă",,"matură",,,,,,
"adventitialis","adventitial",,,,,,"adventițial",,,,,,,,
"aerosanguineum","blood air",,"aerosanguineous",,,,"aer-sânge",,,,,,,,
